Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Grand Cru;210;174;-1;-1;9.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie De L'Abbaye Des Rocs;Chausse Brunehault 37;Montignies-sur-Roc;Hainaut;Belgium;50.3705, 3.7263;
Der Weisse Bock;211;70;4;55;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Weizenbock;German Ale;Bamberger Mahr's-Bru;Wunderburg 10;Bamberg;Bayern;Germany;49.8901, 10.9067;
Stouterik / The Brussels Stout;212;176;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de la Senne;Victor Nonnemansstraat 40a;Sint-Pieters-Leeuw;Vlaams Brabant;Belgium;50.7853, 4.2437;
Black Jack Porter;213;779;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Lunar Ale;214;161;3;38;5.099999905;0;0;0;;Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish.;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Boulevard Brewing Company;2501 Southwest Boulevard;Kansas City;Missouri;United States;39.0821, -94.5965;http://www.blvdbeer.com/
Denver Pale Ale / DPA;215;604;3;26;5.400000095;0;0;0;;Historically Great Divide�۪s flagship beer, DPA�۪s record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.   Sporting a brilliant copper hue and an assertive floral hop aroma, DPA is known for its smooth, malty middle, which is expertly complemented with hearty and complex hop flavor. DPA�۪s extraordinary hop finish is marked by crisp yet moderate hop bitterness. Its well-balanced profile makes DPA the perfect beer to accompany a hearty mountain picnic or a night on the town. For those who seek beers characterized by excitement, flavor and distinction, Denver Pale Ale is the natural choice.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Great Divide Brewing;2201 Arapahoe Street;Denver;Colorado;United States;39.7539, -104.989;http://www.greatdivide.com/
Grotten Flemish Ale;216;296;5;72;7.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Brouwerij St. Bernardus;Trappistenweg 23;Watou;West-Vlaanderen;Belgium;50.8425, 2.6362;http://www.sintbernardus.be
Grand Cru;217;1316;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Upstream Brewing Old Market;514 South Eleventh Street;Omaha;Nebraska;United States;41.2553, -95.9306;http://www.upstreambrewing.com/
Summer Common;218;501;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Golden Ale;219;1185;-1;-1;4.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;St Peter's Brewery;St Peter's Hall;Bungay;Suffolk;United Kingdom;36.7282, -76.5836;
Ambree;220;174;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie De L'Abbaye Des Rocs;Chausse Brunehault 37;Montignies-sur-Roc;Hainaut;Belgium;50.3705, 3.7263;
Pater 6;221;296;5;60;6.699999809;0;0;0;;This name became a reference. This beer is mostly pointed out with its product name: ���a Paterke�۝.    This ���Paterke�۝ is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste.;0;2010-07-22 22:00:00+02:00;Belgian-Style Dubbel;Belgian and French Ale;Brouwerij St. Bernardus;Trappistenweg 23;Watou;West-Vlaanderen;Belgium;50.8425, 2.6362;http://www.sintbernardus.be
Blanche de Namur;222;187;-1;-1;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie du Bocq;Rue de la Brasserie 4;Purnode;Namur;Belgium;50.3114, 4.9435;
Skinny Dip;223;905;3;37;4.199999809;0;0;0;;Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing.;0;2010-07-22 22:00:00+02:00;Golden or Blonde Ale;North American Ale;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
Blanche Double;224;174;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie De L'Abbaye Des Rocs;Chausse Brunehault 37;Montignies-sur-Roc;Hainaut;Belgium;50.3705, 3.7263;
Summer Bright Ale;225;236;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
Mothership Wit;226;905;-1;-1;4.800000191;0;0;0;;Our first venture into organically-produced beer, Mothership Wit Organic Wheat Beer elevates the zesty Wit or White beers of Belgium. Our far-flung Beer Rangers affectionately refer to our Fort Collins brewery as the Mothership, a name that conjures images of earth shot from space and the interconnectivity of it all. Mothership Wit is brewed with wheat and barley malt, as well as coriander and orange peel spicing resulting in a balance of citrus and sour flavors held in suspension by a bright burst of carbonation.;0;2010-07-22 22:00:00+02:00;;;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
Lia Fail Stone of Destiny Ale;227;696;-1;-1;4.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Inveralmond Brewery;Inveralmond Way;Perth;Scotland;United Kingdom;56.4174, -3.4779;
Premium XB Bluebird Bitter;228;395;-1;-1;4.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Coniston Brewing;Coppermines Road;Coniston;Cumbria;United Kingdom;;
IPA;229;1056;3;31;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462, -1.1355;
Houblon;230;167;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie D'Achouffe;Rue du Village 32;Houffalize-Achouffe;Luxembourg;Belgium;50.1507, 5.7442;
Double Pilsner;231;935;8;95;8.100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Creamy Dark;232;708;8;95;4.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Jacob Leinenkugel Brewing Company;1 Jefferson Avenue;Chippewa Falls;Wisconsin;United States;44.9449, -91.3968;http://www.leinie.com/welcome.html
Premium Pils Edelherb;233;757;-1;-1;4.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kulmbacher Brauerei AG;Lichtenfelser Strae 9;Kulmbach;Bayern;Germany;50.106, 11.4442;
St�_venbr�_u Maibock;234;590;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Gottberg Brew Pub;2804 13th Street;Columbus;Nebraska;United States;41.4295, -97.3623;
Jack of Spades Schwarzbier;235;590;7;86;3.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Gottberg Brew Pub;2804 13th Street;Columbus;Nebraska;United States;41.4295, -97.3623;
Shiner Hefeweizen;236;1179;4;50;5.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Spoetzl Brewery;603 East Brewery Street;Shiner;Texas;United States;29.426, -97.1607;http://www.shiner.com
Sapporo Premium Beer;237;1154;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Sleeman Brewing & Malting;551 Clair Road West;Guelph;Ontario;Canada;43.487, -80.2068;
Dark German Lager;238;501;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Spring Heat Spiced Wheat;239;44;-1;-1;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Anheuser-Busch;One Busch Place;Saint Louis;Missouri;United States;38.5983, -90.209;http://www.anheuser-busch.com/
Gose;240;567;-1;-1;4.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Gasthaus & Gosebrauerei Bayerischer Bahnhof;Bayerischer Platz 1;Leipzig;Sachsen;Germany;51.3397, 12.3714;
Pils;241;1176;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Spaten-Franziskaner-Br�_u;Marsstrae 46-48;M�_nchen;Bayern;Germany;;
New;242;1274;8;95;4.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Tooheys;29 Nyrang Street;Sydney;New South Wales;Australia;-33.8501, 151.045;
Eisenbahn Defumada;243;369;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Cervejaria Sudbrack;Rua Bahia, 5181;Blumenau;Santa Catarina;Brazil;-26.8914, -49.1223;http://www.eisenbahn.com.br/
Eisenbahn Escura;244;369;7;86;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Cervejaria Sudbrack;Rua Bahia, 5181;Blumenau;Santa Catarina;Brazil;-26.8914, -49.1223;http://www.eisenbahn.com.br/
Eisenbahn Dourada;245;369;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Cervejaria Sudbrack;Rua Bahia, 5181;Blumenau;Santa Catarina;Brazil;-26.8914, -49.1223;http://www.eisenbahn.com.br/
Fallen Angel Sweet Stout;246;501;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Hot Shot ESB;247;604;1;5;5;0;0;0;;HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose and light-caramel malt character.   While HotShot is one of Great Divide�۪s easiest-drinking and lower alcohol beers, its complex flavor profile makes it the perfect session beer for craft beer lovers.;0;2010-07-22 22:00:00+02:00;Extra Special Bitter;British Ale;Great Divide Brewing;2201 Arapahoe Street;Denver;Colorado;United States;39.7539, -104.989;http://www.greatdivide.com/
Porter;248;312;2;25;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Bryggeriet lfabrikken;Hollselund Strandvej 74;Tisvildeleje;;Denmark;56.0746, 12.1161;
N��gne �� Imperial Stout;249;923;3;43;9;0;0;0;;We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10�C/50�F. Great with vanilla ice cream or dark chocolate.;0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;N��gne �� - Det Kompromissl��se Bryggeri A/S;Gamle Rygene Kraftstasjon;Grimstad;Lunde;Norway;;http://nogne-o.com/
N��gne �� Porter;250;923;2;25;7;0;0;0;;In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10�C/50�F.  Try with dark chocolate, cheese, or red meat dishes.;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;N��gne �� - Det Kompromissl��se Bryggeri A/S;Gamle Rygene Kraftstasjon;Grimstad;Lunde;Norway;;http://nogne-o.com/
N��gne �� Pale Ale;251;923;3;26;6;0;0;0;;A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8�C/45�F.  Ideal with barbequed or smoked meat dishes.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;N��gne �� - Det Kompromissl��se Bryggeri A/S;Gamle Rygene Kraftstasjon;Grimstad;Lunde;Norway;;http://nogne-o.com/
Eccentric Belgian Wheat;252;501;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Oatmeal Stout;253;1265;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Amber Light;254;1265;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
New World Wheat;255;1265;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Maibock;256;1265;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Ironwood Dark;257;1265;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Cascade Amber;258;1265;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Alpine Gold;259;1265;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Tied House Cafe & Brewery - San Jose;65 North San Pedro;San Jose;California;United States;37.3362, -121.894;
Illuminator Doppelbock;260;624;7;90;6.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Old Princeton Landing IPA;261;624;3;31;6.099999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Paddle Out Stout;262;624;3;42;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Pillar Point Pale Ale;263;624;3;26;4.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Sandy Beach Blonde Hefeweizen;264;624;4;50;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Mavericks Amber Ale;265;624;3;33;4.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Harbor Light Ale;266;624;-1;-1;4.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903, -122.435;
Leroy Barleywine;267;1126;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Oatmeal Stout;268;1126;3;42;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Amber;269;1126;3;33;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Blur IPA;270;1126;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Pelican Pale;271;1126;3;26;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Brew Ribbon;272;1126;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Seabright Brewery;519 Seabright Avenue #107;Santa Cruz;California;United States;36.9676, -122.008;
Casey Jones Imperial IPA;273;701;3;31;7.25;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Fairfax Coffee Porter;274;701;-1;-1;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Epiphany Ale;275;701;3;33;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
IPA;276;701;3;31;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Chazz Cat Rye;277;701;8;95;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Shining Star Pale Ale;278;701;3;26;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Honey Bunny Blonde Ale;279;701;8;95;5.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Kent Lake Kolsch;280;701;-1;-1;4;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Iron Springs Pub & Brewery;765 Center Boulevard;Fairfax;California;United States;37.986, -122.584;
Old Blarney Barleywine;281;892;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Moylan's Brewery & Restaurant;15 Rowland Way;Novato;California;United States;38.0941, -122.557;http://www.moylans.com/
Irish Dry Stout;282;892;3;42;4.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Moylan's Brewery & Restaurant;15 Rowland Way;Novato;California;United States;38.0941, -122.557;http://www.moylans.com/
Kilt Lifter Scottish Ale;283;892;1;15;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Moylan's Brewery & Restaurant;15 Rowland Way;Novato;California;United States;38.0941, -122.557;http://www.moylans.com/
India Pale Ale;284;892;3;26;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Moylan's Brewery & Restaurant;15 Rowland Way;Novato;California;United States;38.0941, -122.557;http://www.moylans.com/
Blonde Bock;285;588;7;90;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526, -121.893;http://www.gordonbiersch.com/brewery
Schwarzbier;286;588;7;86;4.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526, -121.893;http://www.gordonbiersch.com/brewery
Czech Lager;287;588;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526, -121.893;http://www.gordonbiersch.com/brewery
Yule Tide;288;385;5;61;10;0;0;0;;The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers.;0;2010-07-22 22:00:00+02:00;Belgian-Style Tripel;Belgian and French Ale;Clipper City Brewing Co.;4615-B Hollins Ferry Road;Baltimore;Maryland;United States;39.2308, -76.6751;http://www.ccbeer.com/
Pilsner;289;588;-1;-1;5.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526, -121.893;http://www.gordonbiersch.com/brewery
Warka Strong;290;308;8;95;7;0;0;0;;European Strong Lager;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Browar Warka;ul. Go��niewska 65;Warka;;Poland;;http://www.warka.com.pl/
Porter;291;1074;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Roost Brewery;200 East Campbell Avenue;Campbell;California;United States;37.2869, -121.946;
ESB;292;1074;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Roost Brewery;200 East Campbell Avenue;Campbell;California;United States;37.2869, -121.946;
Pale Ale;293;1074;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Roost Brewery;200 East Campbell Avenue;Campbell;California;United States;37.2869, -121.946;
Kristall Weizen;294;1074;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Roost Brewery;200 East Campbell Avenue;Campbell;California;United States;37.2869, -121.946;
ESB (Extra Special Blizzard);295;1163;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Snowshoe Brewing - Sonora;;Sonora;California;United States;37.9841, -120.382;
Paint the Town Red;296;677;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;HopTown Brewing;3015-D Hopyard Road;Pleasanton;California;United States;37.677, -121.898;
Golden Ale;297;677;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;HopTown Brewing;3015-D Hopyard Road;Pleasanton;California;United States;37.677, -121.898;
Train Wreck IPA;298;1004;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Pleasanton Main Street Brewery;830 Main Street;Pleasanton;California;United States;37.6645, -121.873;
Zone 7 Porter;299;1004;2;25;3.799999952;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Pleasanton Main Street Brewery;830 Main Street;Pleasanton;California;United States;37.6645, -121.873;
Pleasanton Pale;300;1004;3;26;5.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Pleasanton Main Street Brewery;830 Main Street;Pleasanton;California;United States;37.6645, -121.873;
Island Wheat;301;1004;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Pleasanton Main Street Brewery;830 Main Street;Pleasanton;California;United States;37.6645, -121.873;
Hefeweizen;302;707;4;50;5.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
Red Ale;303;707;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
Penalty Shot Porter;304;707;2;25;5.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
India Pale Ale;305;707;3;26;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
Grid Iron Amber Ale;306;707;3;33;5.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
Boys of Summer Wheat;307;707;8;95;3.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Jack's Brewing;39176 Argonaut Way;Fremont;California;United States;37.5441, -121.988;
Pale Ale;308;523;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Firehouse Grill & Brewery;111 South Murphy Avenue;Sunnyvale;California;United States;37.3775, -122.03;
Red Ale;309;523;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Firehouse Grill & Brewery;111 South Murphy Avenue;Sunnyvale;California;United States;37.3775, -122.03;
Hefeweizen;310;523;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Firehouse Grill & Brewery;111 South Murphy Avenue;Sunnyvale;California;United States;37.3775, -122.03;
Bitter;311;523;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Firehouse Grill & Brewery;111 South Murphy Avenue;Sunnyvale;California;United States;37.3775, -122.03;
Double IPA;312;523;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Firehouse Grill & Brewery;111 South Murphy Avenue;Sunnyvale;California;United States;37.3775, -122.03;
Tatonka Stout;313;133;3;43;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
P.M. Porter;314;133;2;25;6.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
Jeremiah Red;315;133;2;22;7.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Irish-Style Red Ale;Irish Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
Piranha Pale Ale;316;133;3;26;5.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
Harvest Hefeweizen;317;133;4;50;4.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
Brewhouse Blonde;318;133;-1;-1;4.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
Nutty Brewnette;319;133;3;38;5.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;BJ's Restaurant and Brewery;600 Brea Mall;Brea;California;United States;33.9132, -117.889;http://www.bjsrestaurants.com/beer.aspx
India Pale Ale (IPA);320;515;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Belgian Tripel;321;515;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
